Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,1.223976E-05,1003.90,0,74.84, -,9.315441
0.05,8.25382,1003.60,7.857143,74.84, -,9.315441
0.10,22.01237,1003.10,20.95238,74.84, -,9.315441
0.15,33.0222,1002.70,31.42857,74.84, -,9.315441
0.20,44.03727,1002.30,41.90476,74.84, -,9.315441
0.25,55.05421,1001.90,52.38095,74.84, -,9.315441
0.30,71.58883,1001.30,68.14286,74.84, -,9.315441
0.35,79.85831,1001.00,76,74.84, -,9.315441
0.40,88.12979,1000.70,83.85714,74.84, -,9.315441
0.45,99.16269,1000.30,94.38095,74.84, -,9.315441
0.50,112.958,999.80,107.5238,74.84, -,9.315441
0.55,126.7589,999.30,120.6667,74.84, -,9.315441
0.60,137.8026,998.90,131.1905,74.84, -,9.315441
0.65,148.8516,998.50,141.7143,74.84, -,9.315441
0.70,170.9586,997.70,162.7619,74.84, -,9.315441
0.75,184.7831,997.20,175.9048,74.84, -,9.315441
0.80,198.6131,996.70,189.0952,74.84, -,9.315441
0.85,215.2175,996.10,204.9048,74.84, -,9.315441
0.90,242.9079,995.10,231.2857,74.84, -,9.315441
0.95,262.3033,994.40,249.7619,74.84, -,9.315441
1.00,281.7114,993.70,268.2381,74.84, -,9.315441
1.05,301.1306,993.00,286.7143,74.84, -,9.315441
1.10,326.1146,992.10,302.6667,74.84, -,9.315441
1.15,348.3371,991.30,310.7143,74.84, -,9.315441
1.20,370.5741,990.50,321.4286,74.84, -,9.315441
1.25,384.4799,990.00,324.1905,74.84, -,9.315441
1.30,403.9578,989.30,332.2857,74.84, -,9.315441
1.35,423.4469,988.60,335.0952,74.84, -,9.315441
1.40,442.9455,987.90,345.8095,74.84, -,9.315441
1.45,462.4569,987.20,356.5238,74.84, -,9.315441
1.50,484.7687,986.40,367.2381,74.84, -,9.315441
1.55,507.0969,985.60,375.381,74.84, -,9.315441
1.60,535.0261,984.60,388.8571,74.84, -,9.315441
1.65,560.1809,983.70,402.2857,74.84, -,9.315441
1.70,590.9534,982.60,421.0476,74.84, -,9.315441
1.75,618.9515,981.60,426.6667,74.84, -,9.315441
1.80,646.9729,980.60,440.1905,74.84, -,9.315441
1.85,672.2108,979.70,451.0476,74.84, -,9.315441
1.90,703.085,978.60,464.619,74.84, -,9.315441
1.95,725.5555,977.80,459.619,74.84, -,9.315441
2.00,750.852,976.90,465.2381,74.84, -,9.315441
2.05,776.1691,976.00,470.8571,74.84, -,9.315441
2.10,801.5051,975.10,476.5238,74.84, -,9.315441
2.15,824.0409,974.30,474.1905,74.84, -,9.315441
2.20,849.4109,973.40,477.1905,74.84, -,9.315441
2.25,871.9804,972.60,477.4762,74.84, -,9.315441
2.30,900.2116,971.60,491.1429,74.84, -,9.315441
2.35,922.8132,970.80,494.0952,74.84, -,9.315441
2.40,948.2573,969.90,499.7619,74.84, -,9.315441
2.45,970.8926,969.10,502.7619,74.84, -,9.315441
2.50,996.373,968.20,508.4762,74.84, -,9.315441
2.55,1019.039,967.40,508.8095,74.84, -,9.334889
2.60,1041.722,966.60,509.1429,74.84, -,9.334889
2.65,1064.418,965.80,504.1429,74.84, -,9.334889
2.70,1087.129,965.00,501.8095,74.84, -,9.334889
2.75,1109.856,964.20,494.1905,74.84, -,9.334889
2.80,1135.443,963.30,491.9048,74.84, -,9.334889
2.85,1158.202,962.50,486.9048,74.84, -,9.334889
2.90,1180.976,961.70,484.5238,74.84, -,9.334889
2.95,1203.766,960.90,476.8571,74.84, -,9.334889
3.00,1226.573,960.10,477.1905,74.84, -,9.334889
3.05,1249.394,959.30,474.8095,74.84, -,9.334889
3.10,1275.085,958.40,475.1905,74.84, -,9.334889
3.15,1297.94,957.60,472.8095,74.84, -,9.334889
3.20,1323.668,956.70,475.8571,74.84, -,9.334889
3.25,1349.417,955.80,476.2381,74.84, -,9.334889
3.30,1378.05,954.80,482.0476,74.84, -,9.334889
3.35,1400.973,954.00,476.9524,74.84, -,9.334889
3.40,1423.912,953.20,477.2857,74.84, -,9.334889
3.45,1446.866,952.40,474.9048,74.84, -,9.334889
3.50,1469.838,951.60,475.1905,74.84, -,9.315441
3.55,1489.948,950.90,470.0476,74.84, -,9.315441
3.60,1512.949,950.10,470.381,74.84, -,9.315441
3.65,1533.085,949.40,467.9524,74.84, -,9.315441
3.70,1556.116,948.60,468.2857,74.84, -,9.315441
3.75,1579.16,947.80,468.619,74.84, -,9.315441
3.80,1602.22,947.00,468.9048,74.84, -,9.315441
3.85,1622.412,946.30,463.7619,74.84, -,9.315441
3.90,1645.501,945.50,464.0952,74.84, -,9.315441
3.95,1665.719,944.80,461.6667,74.84, -,9.315441
4.00,1685.948,944.10,459.2381,74.84, -,9.315441
4.05,1706.188,943.40,456.8095,74.84, -,9.315441
4.10,1729.337,942.60,457.1429,74.84, -,9.315441
4.15,1749.603,941.90,451.9524,74.84, -,9.315441
4.20,1772.782,941.10,452.2857,74.84, -,9.315441
4.25,1793.074,940.40,447.0952,74.84, -,9.315441
4.30,1813.38,939.70,441.9048,74.84, -,9.315441
4.35,1833.698,939.00,433.9524,74.84, -,9.315441
4.40,1854.028,938.30,431.5238,74.84, -,9.315441
4.45,1874.371,937.60,429.0476,74.84, -,9.315441
4.50,1894.725,936.90,426.5714,74.84, -,9.315441
4.55,1915.092,936.20,424.0952,74.84, -,9.315441
4.60,1935.472,935.50,424.381,74.84, -,9.315441
4.65,1955.864,934.80,421.9048,74.84, -,9.315441
4.70,1979.184,934.00,424.9048,74.84, -,9.315441
4.75,1999.602,933.30,422.381,74.84, -,9.315441
4.80,2020.033,932.60,419.9048,74.84, -,9.315441
4.85,2037.554,932.00,414.619,74.84, -,9.315441
4.90,2058.009,931.30,414.8571,74.84, -,9.315441
4.95,2075.55,930.70,409.5714,74.84, -,9.315441
5.00,2096.027,930.00,409.8571,74.84, -,9.315441
5.05,2113.588,929.40,407.2857,74.84, -,9.315441
5.10,2137.019,928.60,410.3333,74.84, -,9.315441
5.15,2154.601,928.00,405.0476,74.84, -,9.315441
5.20,2175.127,927.30,405.3333,74.84, -,9.315441
5.25,2192.729,926.70,400,74.84, -,9.315441
5.30,2213.278,926.00,400.2381,74.84, -,9.315441
5.35,2230.9,925.40,397.6667,74.84, -,9.315441
5.40,2251.472,924.70,397.9048,74.84, -,9.315441
5.45,2269.116,924.10,395.3333,74.84, -,9.315441
5.50,2286.768,923.50,392.7619,74.84, -,9.334889
5.55,2304.429,922.90,390.1905,74.84, -,9.334889
5.60,2325.046,922.20,390.4286,74.84, -,9.334889
5.65,2342.729,921.60,387.8571,74.84, -,9.334889
5.70,2360.419,921.00,385.2857,74.84, -,9.334889
5.75,2378.119,920.40,379.9524,74.84, -,9.334889
5.80,2395.83,919.80,377.381,74.84, -,9.334889
5.85,2410.595,919.30,371.9524,74.84, -,9.334889
5.90,2431.278,918.60,375,74.84, -,9.334889
5.95,2449.015,918.00,372.4286,74.84, -,9.334889
6.00,2466.762,917.40,372.619,74.84, -,9.334889
6.05,2481.558,916.90,367.1905,74.84, -,9.334889
6.10,2499.324,916.30,367.381,74.84, -,9.334889
6.15,2517.097,915.70,361.9524,74.84, -,9.334889
6.20,2534.882,915.10,362.1429,74.84, -,9.334889
6.25,2552.674,914.50,359.5238,74.84, -,9.334889
6.30,2567.508,914.00,356.9048,74.84, -,9.334889
6.35,2585.318,913.40,354.2857,74.84, -,9.334889
6.40,2603.138,912.80,354.4762,74.84, -,9.334889
6.45,2620.967,912.20,351.9048,74.84, -,9.334889
6.50,2638.806,911.60,352.0952,74.84, -,9.334889
6.55,2653.679,911.10,349.4286,74.84, -,9.315441
6.60,2671.535,910.50,349.619,74.84, -,9.315441
6.65,2686.422,910.00,344.1905,74.84, -,9.315441
6.70,2701.316,909.50,341.5238,74.84, -,9.315441
6.75,2716.217,909.00,338.8571,74.84, -,9.315441
6.80,2734.105,908.40,339.0476,74.84, -,9.315441
6.85,2752.005,907.80,339.2381,74.84, -,9.315441
6.90,2766.928,907.30,339.381,74.84, -,9.315441
6.95,2784.844,906.70,336.7143,74.84, -,9.315441
7.00,2799.782,906.20,334.0476,74.84, -,9.315441
7.05,2814.727,905.70,331.381,74.84, -,9.315441
7.10,2829.678,905.20,331.5238,74.84, -,9.315441
7.15,2844.636,904.70,328.8571,74.84, -,9.315441
7.20,2862.595,904.10,329.0476,74.84, -,9.315441
7.25,2874.572,903.70,323.5238,74.84, -,9.315441
7.30,2892.547,903.10,323.7143,74.84, -,9.315441
7.35,2907.533,902.60,323.8571,74.84, -,9.315441
7.40,2922.526,902.10,321.1905,74.84, -,9.315441
7.45,2937.526,901.60,318.5238,74.84, -,9.315441
7.50,2952.532,901.10,315.8095,74.84, -,9.334889
7.55,2964.541,900.70,310.2381,74.84, -,9.334889
7.60,2979.559,900.20,310.381,74.84, -,9.334889
7.65,2994.584,899.70,307.7143,74.84, -,9.334889
7.70,3009.616,899.20,307.8571,74.84, -,9.334889
7.75,3021.647,898.80,305.1429,74.84, -,9.334889
7.80,3036.691,898.30,305.2857,74.84, -,9.334889
7.85,3051.742,897.80,302.5714,74.84, -,9.334889
7.90,3063.787,897.40,297,74.84, -,9.334889
7.95,3078.85,896.90,297.1429,74.84, -,9.334889
8.00,3090.906,896.50,291.5714,74.84, -,9.334889
8.05,3102.967,896.10,288.8095,74.84, -,9.334889
8.10,3118.047,895.60,288.9524,74.84, -,9.334889
8.15,3133.135,895.10,289.0952,74.84, -,9.334889
8.20,3145.209,894.70,286.3333,74.84, -,9.334889
8.25,3157.289,894.30,280.7619,74.84, -,9.334889
8.30,3172.394,893.80,283.7143,74.84, -,9.334889
8.35,3184.482,893.40,278.0952,74.84, -,9.334889
8.40,3199.6,892.90,278.1905,74.84, -,9.334889
8.45,3211.7,892.50,275.4286,74.84, -,9.334889
8.50,3223.804,892.10,272.6667,74.84, -,9.334889
8.55,3235.911,891.70,269.9048,74.84, -,9.315441
8.60,3251.052,891.20,272.9048,74.84, -,9.315441
8.65,3263.171,890.80,270.1429,74.84, -,9.315441
8.70,3278.324,890.30,270.2381,74.84, -,9.315441
8.75,3290.451,889.90,267.4762,74.84, -,9.315441
8.80,3302.583,889.50,267.5714,74.84, -,9.315441
8.85,3314.721,889.10,264.8095,74.84, -,9.315441
8.90,3326.861,888.70,262.0476,74.84, -,9.315441
8.95,3335.969,888.40,259.2381,74.84, -,9.315441
9.00,3351.156,887.90,259.381,74.84, -,9.315441
9.05,3360.272,887.60,256.5714,74.84, -,9.315441
9.10,3375.47,887.10,259.5714,74.84, -,9.315441
9.15,3384.592,886.80,253.8571,74.84, -,9.315441
9.20,3396.757,886.40,251.0476,74.84, -,9.315441
9.25,3408.928,886.00,251.1429,74.84, -,9.315441
9.30,3421.104,885.60,251.2381,74.84, -,9.315441
9.35,3430.239,885.30,245.5714,74.84, -,9.315441
9.40,3445.468,884.80,248.5714,74.84, -,9.315441
9.45,3454.609,884.50,242.9048,74.84, -,9.315441
9.50,3466.802,884.10,243,74.84, -,9.334889
9.55,3478.997,883.70,243.0952,74.84, -,9.334889
9.60,3488.147,883.40,240.2857,74.84, -,9.334889
9.65,3500.352,883.00,237.4762,74.84, -,9.334889
9.70,3509.508,882.70,234.6667,74.84, -,9.334889
9.75,3521.721,882.30,231.8571,74.84, -,9.334889
9.80,3530.883,882.00,229,74.84, -,9.334889
9.85,3543.104,881.60,229.0476,74.84, -,9.334889
9.90,3555.327,881.20,229.0952,74.84, -,9.334889
9.95,3564.498,880.90,226.2381,74.84, -,9.334889
10.00,3573.674,880.60,226.3333,74.84, -,9.334889
10.05,3582.85,880.30,220.619,74.84, -,9.334889
10.10,3595.088,879.90,223.619,74.84, -,9.334889
10.15,3604.271,879.60,217.9048,74.84, -,9.334889
10.20,3613.456,879.30,218,74.84, -,9.334889
10.25,3622.643,879.00,215.1905,74.84, -,9.334889
10.30,3631.833,878.70,212.381,74.84, -,9.334889
10.35,3641.025,878.40,209.5238,74.84, -,9.334889
10.40,3653.286,878.00,212.4762,74.84, -,9.334889
10.45,3662.484,877.70,206.7143,74.84, -,9.334889
10.50,3671.685,877.40,206.7619,74.84, -,9.334889
10.55,3680.89,877.10,203.9048,74.84, -,9.334889
10.60,3690.095,876.80,201.0476,74.84, -,9.334889
10.65,3696.235,876.60,198.1905,74.84, -,9.334889
10.70,3708.514,876.20,198.2857,74.84, -,9.334889
10.75,3717.728,875.90,198.3333,74.84, -,9.334889
10.80,3726.946,875.60,195.4762,74.84, -,9.334889
10.85,3733.09,875.40,192.619,74.84, -,9.334889
10.90,3742.312,875.10,189.7619,74.84, -,9.334889
10.95,3751.534,874.80,186.9048,74.84, -,9.334889
11.00,3760.76,874.50,187,74.84, -,9.334889
11.05,3766.912,874.30,184.0952,74.84, -,9.334889
11.10,3779.218,873.90,187.0476,74.84, -,9.334889
11.15,3785.374,873.70,181.2381,74.84, -,9.334889
11.20,3794.608,873.40,181.2857,74.84, -,9.334889
11.25,3803.847,873.10,181.3333,74.84, -,9.334889
11.30,3810.006,872.90,178.4286,74.84, -,9.334889
11.35,3816.167,872.70,175.5238,74.84, -,9.334889
11.40,3825.41,872.40,175.5714,74.84, -,9.334889
11.45,3834.658,872.10,172.7143,74.84, -,9.334889
11.50,3840.822,871.90,169.8095,74.84, -,9.334889
11.55,3850.074,871.60,169.8571,74.84, -,9.334889
11.60,3856.241,871.40,166.9524,74.84, -,9.334889
11.65,3865.498,871.10,167,74.84, -,9.334889
11.70,3871.667,870.90,167,74.84, -,9.334889
11.75,3880.928,870.60,164.0952,74.84, -,9.334889
11.80,3887.101,870.40,161.1905,74.84, -,9.334889
11.85,3893.276,870.20,158.3333,74.84, -,9.334889
11.90,3902.541,869.90,161.2857,74.84, -,9.334889
11.95,3908.72,869.70,158.4286,74.84, -,9.334889
12.00,3914.899,869.50,155.5714,74.84, -,9.334889
12.05,3921.08,869.30,152.6667,74.84, -,9.334889
12.10,3930.353,869.00,155.619,74.84, -,9.334889
12.15,3936.537,868.80,149.8095,74.84, -,9.334889
12.20,3942.721,868.60,149.8571,74.84, -,9.334889
12.25,3948.906,868.40,146.9524,74.84, -,9.334889
12.30,3955.093,868.20,144.0476,74.84, -,9.334889
12.35,3961.281,868.00,144.0952,74.84, -,9.334889
12.40,3967.471,867.80,144.1429,74.84, -,9.334889
12.45,3973.661,867.60,141.2381,74.84, -,9.334889
12.50,3979.851,867.40,138.3333,74.84, -,9.334889
12.55,3986.044,867.20,138.381,74.84, -,9.315441
12.60,3992.239,867.00,135.4762,74.84, -,9.315441
12.65,3998.434,866.80,135.5238,74.84, -,9.315441
12.70,4004.63,866.60,132.619,74.84, -,9.315441
12.75,4010.826,866.40,132.6667,74.84, -,9.315441
12.80,4017.025,866.20,129.7619,74.84, -,9.315441
12.85,4020.125,866.10,126.8571,74.84, -,9.315441
12.90,4026.324,865.90,126.8571,74.84, -,9.315441
12.95,4029.426,865.80,121,74.84, -,9.315441
13.00,4035.628,865.60,121,74.84, -,9.315441
13.05,4041.83,865.40,121,74.84, -,9.315441
13.10,4048.034,865.20,121,74.84, -,9.315441
13.15,4051.138,865.10,115.1429,74.84, -,9.315441
13.20,4057.342,864.90,115.1429,74.84, -,9.315441
13.25,4063.55,864.70,115.1429,74.84, -,9.315441
13.30,4066.655,864.60,112.1905,74.84, -,9.315441
13.35,4072.862,864.40,112.1905,74.84, -,9.315441
13.40,4075.968,864.30,109.2381,74.84, -,9.315441
13.45,4082.179,864.10,109.2381,74.84, -,9.315441
13.50,4085.284,864.00,106.2857,74.84, -,9.315441
13.55,4091.497,863.80,106.2857,74.84, -,9.315441
13.60,4094.603,863.70,103.3333,74.84, -,9.315441
13.65,4097.711,863.60,100.381,74.84, -,9.315441
13.70,4103.924,863.40,100.381,74.84, -,9.315441
13.75,4107.033,863.30,97.42857,74.84, -,9.315441
13.80,4110.14,863.20,94.47619,74.84, -,9.315441
13.85,4113.25,863.10,91.52381,74.84, -,9.315441
13.90,4116.357,863.00,91.52381,74.84, -,9.315441
13.95,4119.466,862.90,88.57143,74.84, -,9.315441
14.00,4125.685,862.70,91.52381,74.84, -,9.315441
14.05,4128.796,862.60,88.57143,74.84, -,9.315441
14.10,4135.015,862.40,88.57143,74.84, -,9.315441
14.15,4135.015,862.40,82.66666,74.84, -,9.315441
14.20,4138.126,862.30,82.66666,74.84, -,9.315441
14.25,4141.237,862.20,79.71429,74.84, -,9.315441
14.30,4144.349,862.10,76.7619,74.84, -,9.315441
14.35,4147.46,862.00,76.7619,74.84, -,9.315441
14.40,4150.571,861.90,73.80952,74.84, -,9.315441
14.45,4153.685,861.80,73.80952,74.84, -,9.315441
14.50,4156.796,861.70,70.85714,74.84, -,9.315441
14.55,4159.91,861.60,70.85714,74.84, -,9.315441
14.60,4163.022,861.50,67.90476,74.84, -,9.315441
14.65,4166.135,861.40,67.90476,74.84, -,9.315441
14.70,4166.135,861.40,64.95238,74.84, -,9.315441
14.75,4169.25,861.30,62,74.84, -,9.315441
14.80,4172.363,861.20,62,74.84, -,9.315441
14.85,4175.478,861.10,62,74.84, -,9.315441
14.90,4175.478,861.10,59.04762,74.84, -,9.315441
14.95,4178.592,861.00,59.04762,74.84, -,9.315441
15.00,4181.706,860.90,59.04762,74.84, -,9.315441
15.05,4181.706,860.90,53.14286,74.84, -,9.315441
15.10,4184.822,860.80,53.14286,74.84, -,9.315441
15.15,4184.822,860.80,47.23809,74.84, -,9.315441
15.20,4187.937,860.70,50.19048,74.84, -,9.315441
15.25,4187.937,860.70,47.23809,74.84, -,9.315441
15.30,4191.053,860.60,47.23809,74.84, -,9.315441
15.35,4194.168,860.50,47.23809,74.84, -,9.315441
15.40,4194.168,860.50,44.28571,74.84, -,9.315441
15.45,4194.168,860.50,41.33333,74.84, -,9.315441
15.50,4197.284,860.40,41.33333,74.84, -,9.334889
15.55,4197.284,860.40,38.38095,74.84, -,9.334889
15.60,4197.284,860.40,35.42857,74.84, -,9.334889
15.65,4197.284,860.40,32.47619,74.84, -,9.334889
15.70,4200.402,860.30,32.47619,74.84, -,9.334889
15.75,4200.402,860.30,32.47619,74.84, -,9.334889
15.80,4200.402,860.30,29.52381,74.84, -,9.334889
15.85,4200.402,860.30,26.57143,74.84, -,9.334889
15.90,4203.518,860.20,26.57143,74.84, -,9.334889
15.95,4203.518,860.20,26.57143,74.84, -,9.334889
16.00,4203.518,860.20,23.61905,74.84, -,9.334889
16.05,4203.518,860.20,20.66667,74.84, -,9.334889
16.10,4203.518,860.20,20.66667,74.84, -,9.334889
16.15,4203.518,860.20,17.71428,74.84, -,9.334889
16.20,4203.518,860.20,17.71428,74.84, Drogue,9.334889
16.25,4203.518,860.20,14.7619,74.84, -,9.334889
16.30,4159.91,861.60,-26.76191,74.84, -,9.334889
16.35,3964.375,867.90,-215.9524,74.84, -,9.334889
16.40,4097.711,863.60,-91.90476,74.84, -,9.334889
16.45,4237.824,859.10,41.52381,74.84, -,9.334889
16.50,4234.702,859.20,38.57143,74.84, -,9.334889
16.55,4234.702,859.20,35.61905,74.84, -,9.334889
16.60,4237.824,859.10,38.57143,74.84, -,9.334889
16.65,4234.702,859.20,35.61905,74.84, -,9.334889
16.70,4234.702,859.20,35.61905,74.84, -,9.334889
16.75,4234.702,859.20,32.66667,74.84, -,9.334889
16.80,4234.702,859.20,32.66667,74.84, -,9.334889
16.85,4234.702,859.20,32.66667,74.84, -,9.334889
16.90,4234.702,859.20,32.66667,74.84, -,9.334889
16.95,4234.702,859.20,29.71428,74.84, -,9.334889
17.00,4231.583,859.30,26.76191,74.84, -,9.334889
17.05,4231.583,859.30,26.76191,74.84, -,9.334889
17.10,4228.463,859.40,23.80952,74.84, -,9.334889
17.15,4228.463,859.40,23.80952,74.84, -,9.334889
17.20,4228.463,859.40,23.80952,74.84, -,9.334889
17.25,4228.463,859.40,23.80952,74.84, -,9.334889
17.30,4225.344,859.50,20.85714,74.84, -,9.334889
17.35,4225.344,859.50,62.38095,74.84, -,9.334889
17.40,4225.344,859.50,248.619,74.84, -,9.334889
17.45,4225.344,859.50,121.619,74.84, -,9.334889
17.50,4228.463,859.40,-8.857142,74.84, -,9.334889
17.55,4228.463,859.40,-5.904762,74.84, -,9.334889
17.60,4228.463,859.40,-5.904762,74.84, -,9.334889
17.65,4225.344,859.50,-11.80952,74.84, -,9.334889
17.70,4225.344,859.50,-8.857142,74.84, -,9.334889
17.75,4228.463,859.40,-5.904762,74.84, -,9.334889
17.80,4225.344,859.50,-8.857142,74.84, -,9.334889
17.85,4222.226,859.60,-11.80952,74.84, -,9.334889
17.90,4212.87,859.90,-20.71428,74.84, -,9.334889
17.95,4203.518,860.20,-29.61905,74.84, -,9.334889
18.00,4197.284,860.40,-35.57143,74.84, -,9.334889
18.05,4200.402,860.30,-29.66667,74.84, -,9.334889
18.10,4206.636,860.10,-23.71428,74.84, -,9.334889
18.15,4215.989,859.80,-11.85714,74.84, -,9.334889
18.20,4222.226,859.60,-5.904762,74.84, -,9.334889
18.25,4231.583,859.30,3,74.84, -,9.334889
18.30,4244.063,858.90,14.90476,74.84, -,9.334889
18.35,4250.306,858.70,23.80952,74.84, -,9.334889
18.40,4250.306,858.70,23.80952,74.84, -,9.334889
18.45,4240.943,859.00,14.90476,74.84, -,9.334889
18.50,4244.063,858.90,17.85714,74.84, -,9.334889
18.55,4247.185,858.80,17.85714,74.84, -,9.334889
18.60,4244.063,858.90,14.90476,74.84, -,9.334889
18.65,4234.702,859.20,6,74.84, -,9.334889
18.70,4219.106,859.70,-5.904762,74.84, -,9.334889
18.75,4209.753,860.00,-14.80952,74.84, -,9.334889
18.80,4206.636,860.10,-20.71428,74.84, -,9.334889
18.85,4209.753,860.00,-14.80952,74.84, -,9.334889
18.90,4215.989,859.80,-5.904762,74.84, -,9.334889
18.95,4206.636,860.10,-5.904762,74.84, -,9.334889
19.00,4175.478,861.10,-26.66667,74.84, -,9.334889
19.05,4147.46,862.00,-47.38095,74.84, -,9.334889
19.10,4144.349,862.10,-53.28571,74.84, -,9.334889
19.15,4147.46,862.00,-56.28571,74.84, -,9.334889
19.20,4141.237,862.20,-71.09524,74.84, -,9.334889
19.25,4141.237,862.20,-77.04762,74.84, -,9.334889
19.30,4144.349,862.10,-83,74.84, -,9.334889
19.35,4150.571,861.90,-89,74.84, -,9.334889
19.40,4156.796,861.70,-89.04762,74.84, -,9.334889
19.45,4159.91,861.60,-86.09524,74.84, -,9.334889
19.50,4150.571,861.90,-86.09524,74.84, -,9.334889
19.55,4147.46,862.00,-92,74.84, -,9.334889
19.60,4153.685,861.80,-89.04762,74.84, -,9.334889
19.65,4147.46,862.00,-92,74.84, -,9.334889
19.70,4144.349,862.10,-86.04762,74.84, -,9.334889
19.75,4131.905,862.50,-83.04762,74.84, -,9.334889
19.80,4119.466,862.90,-86,74.84, -,9.334889
19.85,4113.25,863.10,-88.95238,74.84, -,9.334889
19.90,4103.924,863.40,-100.8095,74.84, -,9.334889
19.95,4097.711,863.60,-112.6667,74.84, -,9.334889
20.00,4094.603,863.70,-106.7143,74.84, -,9.334889
20.05,4091.497,863.80,-80,74.84, -,9.334889
20.10,4085.284,864.00,-59.23809,74.84, -,9.334889
20.15,4082.179,864.10,-59.23809,74.84, -,9.334889
20.20,4075.968,864.30,-68.09524,74.84, -,9.334889
20.25,4072.862,864.40,-65.14286,74.84, -,9.334889
20.30,4079.073,864.20,-59.23809,74.84, -,9.334889
20.35,4075.968,864.30,-65.14286,74.84, -,9.334889
20.40,4079.073,864.20,-68.09524,74.84, -,9.334889
20.45,4079.073,864.20,-74,74.84, -,9.334889
20.50,4079.073,864.20,-76.95238,74.84, -,9.334889
20.55,4082.179,864.10,-65.09524,74.84, -,9.354337
20.60,4082.179,864.10,-62.14286,74.84, -,9.354337
20.65,4079.073,864.20,-71,74.84, -,9.354337
20.70,4072.862,864.40,-71,74.84, -,9.354337
20.75,4069.758,864.50,-71,74.84, -,9.354337
20.80,4069.758,864.50,-59.14286,74.84, -,9.354337
20.85,4079.073,864.20,-38.42857,74.84, -,9.354337
20.90,4085.284,864.00,-26.61905,74.84, -,9.354337
20.95,4082.179,864.10,-20.66667,74.84, -,9.354337
21.00,4075.968,864.30,-20.66667,74.84, -,9.354337
21.05,4072.862,864.40,-20.66667,74.84, -,9.354337
21.10,4060.447,864.80,-29.52381,74.84, -,9.354337
21.15,4044.933,865.30,-38.38095,74.84, -,9.354337
21.20,4035.628,865.60,-44.28571,74.84, -,9.354337
21.25,4023.225,866.00,-50.19048,74.84, -,9.354337
21.30,4010.826,866.40,-59.04762,74.84, -,9.354337
21.35,4013.926,866.30,-62,74.84, -,9.354337
21.40,4010.826,866.40,-62,74.84, -,9.354337
21.45,4013.926,866.30,-62,74.84, -,9.354337
21.50,4013.926,866.30,-62,74.66, -,9.334889
21.55,4004.63,866.60,-70.85714,74.66, -,9.334889
21.60,4001.531,866.70,-76.7619,74.66, -,9.334889
21.65,4004.63,866.60,-73.80952,74.66, -,9.334889
21.70,4007.728,866.50,-67.90476,74.66, -,9.334889
21.75,4007.728,866.50,-62,74.66, -,9.334889
21.80,4007.728,866.50,-59.04762,74.66, -,9.334889
21.85,4001.531,866.70,-64.95238,74.66, -,9.334889
21.90,3992.239,867.00,-82.66666,74.66, -,9.334889
21.95,3992.239,867.00,-88.57143,74.66, -,9.334889
22.00,3986.044,867.20,-91.52381,74.66, -,9.334889
22.05,3979.851,867.40,-91.52381,74.66, -,9.334889
22.10,3973.661,867.60,-94.47619,74.66, -,9.334889
22.15,3961.281,868.00,-94.47619,74.66, -,9.334889
22.20,3942.721,868.60,-97.38095,74.66, -,9.334889
22.25,3933.444,868.90,-97.38095,74.66, -,9.334889
22.30,3924.17,869.20,-94.38095,74.66, -,9.334889
